# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec 14 04:22:42 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
#
loc_rowid,pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_lum
1,11 Com b,,1.210000,,,,,,,,,2.60,
2,11 Com b,326.03000000,1.290000,,,,0.231000,,G8 III,4742.00,19.00,2.70,2.243
3,11 UMi b,516.22000000,1.540000,,,,0.080000,,K4 III,4340.00,24.08,1.80,
4,11 UMi b,,1.510000,,,,,,,,,1.70,
5,11 UMi b,516.21997000,1.530000,,,,0.080000,,,4213.00,29.79,2.78,
6,14 And b,185.84000000,0.830000,,,,0.000000,,K0 III,4813.00,11.00,2.20,1.763
7,14 And b,,0.680000,,,,,,,,,1.20,
8,14 Her b,1766.00000000,2.864000,,,,0.359000,,,5280.00,1.00,0.91,-0.153
9,14 Her b,1773.40002000,2.930000,,,,0.370000,,,5338.00,0.93,0.90,
10,14 Her b,1796.40000000,2.800000,,,,0.338000,,,5255.00,,0.90,-0.150
11,14 Her b,,2.730000,,,,0.357000,,,,,0.90,
12,14 Her b,1766.41000000,2.830000,,,,0.367400,,,5314.94,1.00,0.97,
13,14 Her b,1773.40000000,2.770000,,,,0.369000,,K0 V,,,,
14,14 Her b,1724.00000000,2.820000,,,,0.370000,,K0 V,,,1.00,
15,16 Cyg B b,799.45000000,1.676000,,,,0.683200,,,5711.97,1.16,0.98,
16,16 Cyg B b,800.80000000,1.600000,,,,0.634000,,G2.5 V,5760.00,,1.00,
17,16 Cyg B b,799.50000000,1.680000,,,,0.689000,,,5747.00,1.13,1.03,0.097
18,16 Cyg B b,799.50000000,1.680000,,,,0.689000,,G3 V,,,,
19,16 Cyg B b,798.50000000,1.681000,,,,0.681000,,,5674.00,,0.99,
20,16 Cyg B b,798.50000000,1.660000,,,,0.680000,,,5750.00,1.13,1.08,
21,17 Sco b,578.38000000,1.450000,,,,0.060000,,K3 III,4157.00,25.92,1.22,2.254
22,18 Del b,,2.540000,,,,,,,,,2.10,
23,18 Del b,993.30000000,2.600000,,,,0.080000,,G6 III,4979.00,8.50,2.30,1.602
24,1RXS J160929.1-210524 b,,330.000000,,4000.00000,,,1700,,4060.00,,0.85,-0.370
25,1RXS J160929.1-210524 b,,330.000000,,3000.00000,,,1700,K7 V,4060.00,,0.85,-0.370
26,1RXS J160929.1-210524 b,,330.000000,,3000.00000,,,1800,,3993.00,1.31,0.62,-0.403
27,1RXS J160929.1-210524 b,,330.000000,18.647,2543.00000,,,1800,K7 V,4060.00,1.35,0.85,
28,24 Boo b,30.35060000,0.190000,,,,0.042000,,G3 IV,4893.00,10.64,0.99,1.774
29,24 Sex b,452.80000000,1.333000,,,,0.090000,,,5098.00,4.90,1.54,1.164
30,24 Sex c,883.00000000,2.080000,,,,0.290000,,,5098.00,4.90,1.54,1.164
31,2MASS J01033563-5515561 AB b,,84.000000,,4131.79000,,,,M5.5/M6,,,0.19,
32,2MASS J01225093-2439505 b,,52.000000,,7786.50000,,,,M3.5 V,3530.00,,0.40,-1.720
33,2MASS J01225093-2439505 b,,,11.209,,,,1600,,3309.00,0.37,0.35,-1.838
34,2MASS J02192210-3925225 b,,156.000000,16.141,4417.83700,,,,M6,3064.00,0.28,0.11,-2.230
35,2MASS J04414489+2301513 b,,15.000000,,2383.60000,,,,M8.5,,,0.02,
36,2MASS J12073346-3932539 b,,46.000000,,1271.00000,,,1150,,2825.00,0.22,0.19,-2.561
37,2MASS J12073346-3932539 b,,55.000000,,1589.15000,,,1250,M8,,,0.02,
38,2MASS J19383260+4603591 b,416.00000000,0.920000,,603.87700,,,,,,,0.48,
39,2MASS J21402931+1625183 A b,7336.50000000,,10.310,6657.48000,,0.260000,2075,M8.5,2300.00,0.12,0.08,-3.480
40,2MASS J22362452+4751425 b,,230.000000,,3972.87500,,,,K7 V,4045.00,,0.60,
41,30 Ari B b,345.40000000,1.010000,,,,0.180000,,,,1.13,1.16,
42,30 Ari B b,335.10000000,0.995000,,,,0.289000,,F6 V,6300.00,1.13,1.16,
43,30 Ari B b,335.10001000,0.990000,,,,0.290000,,,6331.00,1.41,1.93,
44,4 UMa b,269.30000000,0.870000,,,,0.432000,,K1 III,4415.00,18.11,1.23,
